Date,Actual_Price,AR_Prediction,Hybrid_Prediction,Absolute_Error,MAPE,Risk_Regime
2017-03-09,8927.0,8239.843383466403,8244.184233588254,682.8157664117462,7.648882787182101,Medium Risk
2017-03-10,8934.55,8241.08395289543,8245.42480301728,689.125196982719,7.713037556258782,Medium Risk
2017-03-14,9087.0,8242.32448720206,8246.665337323911,840.3346626760886,9.247657782283355,Medium Risk
2017-03-15,9084.8,8243.564986387288,8247.905836509139,836.8941634908606,9.212026280059666,Medium Risk
2017-03-16,9153.7,8244.805450452106,8249.146300573957,904.5536994260437,9.881836846587104,Medium Risk
2017-03-17,9160.05,8246.04587939751,8250.386729519361,909.663270480638,9.930767522891665,Medium Risk
2017-03-20,9126.85,8247.286273224496,8251.627123346347,875.2228766536537,9.58953939917555,Medium Risk
2017-03-21,9121.5,8248.526631934054,8252.867482055904,868.6325179440955,9.522913094820979,Medium Risk
2017-03-22,9030.45,8249.766955527182,8254.107805649033,776.3421943509675,8.596938074525271,Medium Risk
2017-03-23,9086.3,8251.007244004873,8255.348094126724,830.9519058732749,9.145107534125826,Medium Risk
2017-03-24,9108.0,8252.247497368124,8256.588347489975,851.4116525100253,9.347954024045075,Medium Risk
2017-03-27,9045.2,8253.487715617926,8256.380252615021,788.8197473849796,8.720865734146061,Medium Risk
2017-03-28,9100.8,8254.727898755275,8257.62043575237,843.17956424763,9.264895000962884,Medium Risk
2017-03-29,9143.8,8255.968046781158,8258.860583778252,884.9394162217468,9.678026818409707,Medium Risk
2017-03-30,9173.75,8257.208159696576,8260.100696693671,913.6493033063289,9.959387418518368,Medium Risk
2017-03-31,9173.75,8258.448237502524,8261.340774499618,912.4092255003816,9.945869742475887,Medium Risk
2017-04-03,9237.85,8259.688280199993,8262.580817197088,975.2691828029128,10.557317804499021,Medium Risk
2017-04-05,9265.15,8260.928287789977,8263.820824787072,1001.329175212928,10.807479373921934,Medium Risk
2017-04-06,9261.95,8262.16826027347,8265.060797270566,996.889202729435,10.763275581593886,Medium Risk
2017-04-07,9198.3,8263.408197651468,8266.300734648563,931.9992653514364,10.132299069952452,Medium Risk
2017-04-10,9181.45,8264.648099924963,8267.540636922058,913.9093630779425,9.953867450979338,Medium Risk
2017-04-11,9237.0,8265.88796709495,8268.205608281773,968.7943917182274,10.488193046640982,Medium Risk
2017-04-12,9203.45,8267.127799162421,8269.445440349244,934.0045596507571,10.14841781778308,Medium Risk
2017-04-13,9150.8,8268.367596128372,8270.447620022649,880.3523799773502,9.620496349798382,Medium Risk
2017-04-17,9139.3,8269.607357993795,8271.687381888072,867.6126181119271,9.493206461238028,Medium Risk
2017-04-18,9105.15,8270.847084759684,8272.927108653961,832.2228913460385,9.140133785231859,Medium Risk
2017-04-19,9103.5,8272.086776427033,8274.16680032131,829.3331996786892,9.11004778028988,Medium Risk
